TARGET,ID,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
0,66,1,1,0,7,1,4,125,3,1,3,5,7,14701,17312,10,0,0,3,4,0.85,0.67,0,0,1,0.58,0,0,0.71
0,126,1,1,0,2,1,0,252,18,0,0,2,4,5471,11375,9,0,0,1,2,0.48,0.3,0,1,4,0.4,2,1,0.5
0,124,0,0,0,1,1,4,254,12,0,1,2,6,11522,13680,11,1,1,3,3,0.84,0.67,0,1,1,0.5,1,1,0.33
0,128,0,0,0,6,3,6,154,3,1,9,11,9,8404,11490,14,1,1,4,5,0.73,0.76,0,1,1,0.53,1,1,1.22
0,143,0,0,0,1,0,1,311,17,0,0,1,5,24502,27715,7,0,0,2,3,0.88,0.63,0,0,1,0.63,0,0,0.2
0,291,1,1,0,1,1,2,200,7,0,1,2,3,128,962,8,2,0,1,1,0.13,0.25,1,1,3,0.25,1,1,0.67
0,355,2,0,0,3,1,2,137,12,0,1,2,5,28293,40231,12,0,0,2,2,0.7,0.64,0,0,0,0.36,2,0,0.4
0,364,0,0,0,3,2,1,267,2,3,6,8,4,1818,3903,13,1,0,1,1,0.47,0.42,0,1,2,0.21,1,1,2
0,388,0,0,0,0,16,3,359,23,0,0,1,6,9474,22987,12,1,0,0,2,0.41,0.69,0,0,2,0.46,0,0,0.17
0,436,1,1,0,1,6,3,141,8,0,1,4,9,27514,32657,17,0,0,7,7,0.84,0.67,0,0,0,0.5,1,0,0.44
0,478,0,0,0,1,4,1,487,12,0,1,6,13,20408,26570,22,0,0,9,10,0.77,0.82,0,0,0,0.59,0,0,0.46
0,547,0,0,0,4,1,4,78,4,0,7,10,6,20392,25869,20,0,0,1,2,0.79,0.74,0,0,0,0.26,0,0,1.67
